"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"1","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-09,3587.1965,106.445,0
"2","AND","Andorra","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-06-20,576.577710468845,79.824,0
"3","ARE","United Arab Emirates","Asia","Western Asia",2022-04-17,0,0,0,0,2022-05-12,96299.5158,9441.129,0
"4","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-03,205600,45510.318,0
"5","AUS","Australia","Oceania","Australia and New Zealand",2022-04-17,0,0,0,0,2022-05-08,263500,26177.413,0
"6","AUT","Austria","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-14,81238.97811776,8939.617,0
"7","BEL","Belgium","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-10,105923.535897807,11655.93,0
"8","BEN","Benin","Africa","Sub-Saharan Africa",2022-04-17,0,0,0,0,2022-06-06,5800,13352.864,0
"9","BGR","Bulgaria","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-06-10,57800,6781.953,0
"10","BHR","Bahrain","Asia","Western Asia",2022-04-17,0,0,0,0,2022-09-08,15016.7766,1472.233,0
"11","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-16,2800,409.984,0
"12","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-07-02,6900,3233.526,0
"13","BMU","Bermuda","Americas","Northern America",2022-04-17,0,0,0,0,2022-07-16,718.819322375309,64.184,0
"14","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-24,35500,12224.11,0
"15","BRA","Brazil","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-13,2e+06,215313.498,0
"16","BRB","Barbados","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-04,2600,281.635,0
"17","CAF","Central African Republic","Africa","Sub-Saharan Africa",2022-04-17,0,2,0,2,2022-02-08,3000,5579.144,0.000666666666666667
"18","CAN","Canada","Americas","Northern America",2022-04-17,0,0,0,0,2022-04-28,349800,38454.327,0
"19","CHE","Switzerland","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-11,80000,8740.472,0
"20","CHL","Chile","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-02,122600,19603.733,0
