"","location","estimate","MSM_size","region","pop2022","prop"
"1","Afghanistan",10,670.3989673,"Asia",41128.771,0.0243138799357754
"2","Albania",7.1,NA,"Europe",2842.321,0.249795853459198
"3","Algeria",NA,458.012895,"Africa",44903.225,NA
"4","American Samoa",NA,0.7216499,"Oceania",44.273,NA
"5","Andorra",NA,NA,"Europe",79.824,NA
"6","Angola",29.4,516.0403115,"Africa",35588.987,0.0826098253372595
"7","Anguilla",NA,0.5343809,"Americas",15.857,NA
"8","Antarctica",NA,NA,NA,NA,NA
"9","Antigua and Barbuda",NA,3.1598131,"Americas",93.763,NA
"10","Argentina",205.6,1533.6977166,"Americas",45510.318,0.451765685311186
"11","Armenia",22.7,28.3607838,"Asia",2780.469,0.816409030275108
"12","Aruba",NA,3.5871965,"Americas",106.445,NA
"13","Australia",263.5,426.6918319,"Oceania",26177.413,1.00659297387408
"14","Austria",NA,NA,"Europe",8939.617,NA
"15","Azerbaijan",23.9,105.6523548,"Asia",10358.074,0.230737876558905
"16","Bahamas",2.8,13.8164608,"Americas",409.984,0.682953481111458
"17","Bahrain",NA,15.0167766,"Asia",1472.233,NA
"18","Bangladesh",101.7,2790.3378636,"Asia",171186.372,0.0594089347252479
"19","Barbados",2.6,9.4910995,"Americas",281.635,0.923180712624496
"20","Belarus",32,201.1875294,"Europe",9534.954,0.335607282426323
"21","Belgium",NA,NA,"Europe",11655.93,NA
"22","Belize",NA,13.6576664,"Americas",405.272,NA
"23","Benin",5.8,193.616528,"Africa",13352.864,0.0434363743987807
"24","Bermuda",NA,NA,"Americas",64.184,NA
"25","Bhutan",1.7,12.7540165,"Asia",782.455,0.217264890632688
"26","Bolivia (Plurinational State of)",35.5,NA,"Americas",NA,NA
"27","Bonaire, Sint Eustatius and Saba",NA,NA,"Americas",NA,NA
"28","Bosnia and Herzegovina",6.9,NA,"Europe",3233.526,0.213389346490487
"29","Botswana",2.6,38.139292,"Africa",2630.296,0.0988481904698179
"30","Bouvet Island",NA,NA,"Americas",NA,NA
"31","Brazil",2000,7256.0648826,"Americas",215313.498,0.928878132851662
"32","British Indian Ocean Territory",NA,NA,"Africa",NA,NA
"33","Brunei Darussalam",NA,NA,"Asia",NA,NA
"34","Bulgaria",57.8,143.0992083,"Europe",6781.953,0.852261877957573
"35","Burkina Faso",3.5,328.769549,"Africa",22673.762,0.0154363444407681
"36","Burundi",9.3,186.898852,"Africa",12889.576,0.0721513260017242
"37","Cabo Verde",NA,NA,"Africa",NA,NA
"38","Cambodia",88,273.3158246,"Asia",16767.842,0.524814105476423
"39","Cameroon",7,404.760772,"Africa",27914.536,0.0250765407671473
"40","Canada",349.8,NA,"Americas",38454.327,0.90965055766026
"41","Cayman Islands",NA,2.3153922,"Americas",68.706,NA
"42","Central African Republic",3,80.897588,"Africa",5579.144,0.0537716897072382
"43","Chad",8.2,256.9880675,"Africa",17723.315,0.0462667396026082
"44","Chile",122.6,660.6458021,"Americas",19603.733,0.625391092604658
"45","China",NA,23241.9635931,"Asia",1425887.337,NA
"46","Christmas Island",NA,NA,"Oceania",NA,NA
"47","Cocos (Keeling) Islands",NA,NA,"Oceania",NA,NA
"48","Colombia",356.7,1748.1546088,"Americas",51874.024,0.687627395167955
"49","Comoros",0.6,12.133223,"Africa",836.774,0.0717039487364569
"50","Congo",1.3,NA,"Africa",NA,NA
"51","Congo, Democratic Republic of the",194.9,NA,"Africa",NA,NA
"52","Cook Islands",NA,0.2772793,"Oceania",17.011,NA
"53","Costa Rica",10.1,174.5939373,"Americas",5180.829,0.194949495534402
"54","Croatia",29.5,NA,"Europe",4030.358,0.731944904149954
"55","Cuba",279.2,377.8508367,"Americas",11212.191,2.49014666268172
"56","Curaçao",NA,NA,"Americas",NA,NA
"57","Cyprus",NA,12.7651776,"Asia",1251.488,NA
"58","Czechia",NA,NA,"Europe",NA,NA
"59","Côte d'Ivoire",NA,NA,"Africa",NA,NA
"60","Côte d'ivoire",56,NA,NA,NA,NA
"61","Denmark",50,NA,"Europe",5882.261,0.850013285707656
"62","Djibouti",0.9,16.2523105,"Africa",1120.849,0.080296275412656
"63","Dominica",0.5,2.4512369,"Americas",72.737,0.687408059172086
"64","Dominican Republic",142,378.4112677,"Americas",11228.821,1.26460293560651
"65","Ecuador",89.4,606.6337,"Americas",18001,0.496639075606911
"66","Egypt",64.3,1132.0990506,"Africa",110990.103,0.0579330933677933
"67","El Salvador",54.1,213.5364104,"Americas",6336.392,0.853798186728346
"68","Equatorial Guinea",NA,24.286166,"Africa",1674.908,NA
"69","Eritrea",NA,53.418464,"Africa",3684.032,NA
"70","Estonia",9,NA,"Europe",1326.062,0.678701297526058
"71","Eswatini",4,17.424215,"Africa",1201.67,0.332870089125966
"72","Ethiopia",NA,1789.008898,"Africa",123379.924,NA
"73","Falkland Islands (Malvinas)",NA,NA,"Americas",NA,NA
"74","Faroe Islands",NA,NA,"Europe",53.09,NA
"75","Fiji",NA,15.1551858,"Oceania",929.766,NA
"76","Finland",NA,NA,"Europe",5540.745,NA
"77","France",330,NA,"Europe",64626.628,0.510625434457141
"78","French Guiana",NA,10.2635709,"Americas",304.557,NA
"79","French Polynesia",NA,4.9923477,"Oceania",306.279,NA
"80","French Southern Territories",NA,NA,"Africa",NA,NA
"81","Gabon",NA,34.640384,"Africa",2388.992,NA
"82","Gambia",1.7,39.236884,"Africa",2705.992,0.0628235412373725
"83","Georgia",18.5,38.192727,"Asia",3744.385,0.494073125493239
"84","Germany",750,NA,"Europe",83369.843,0.899605868275415
"85","Ghana",54.8,485.400115,"Africa",33475.87,0.163700002419653
"86","Gibraltar",NA,NA,"Europe",32.649,NA
"87","Greece",94,NA,"Europe",10384.971,0.905154188682857
"88","Greenland",NA,NA,"Americas",56.466,NA
"89","Grenada",2.4,4.2272606,"Americas",125.438,1.91329581147659
"90","Guadeloupe",NA,13.3368424,"Americas",395.752,NA
"91","Guam",NA,2.7999162,"Oceania",171.774,NA
"92","Guatemala",116.5,601.3396996,"Americas",17843.908,0.652883886198024
"93","Guernsey",NA,NA,"Europe",63.301,NA
"94","Guinea",0.8,200.9604445,"Africa",13859.341,0.00577228022602229
"95","Guinea-Bissau",3.6,30.530707,"Africa",2105.566,0.170975405187964
"96","Guyana",3.3,27.2540662,"Americas",808.726,0.408049203314843
"97","Haiti",30.9,390.4143652,"Americas",11584.996,0.266724304436532
"98","Heard Island and McDonald Islands",NA,NA,"Oceania",NA,NA
"99","Holy See",NA,NA,"Europe",NA,NA
"100","Honduras",40.9,351.587382,"Americas",10432.86,0.392030564964928
"101","Hong Kong",NA,122.0684995,"Asia",7488.865,NA
"102","Hungary",NA,210.3101988,"Europe",9967.308,NA
"103","Iceland",NA,NA,"Europe",372.899,NA
"104","India",238.2,23099.9227199,"Asia",1417173.173,0.0168081081788866
"105","Indonesia",754.3,4490.6718257,"Asia",275501.339,0.273791772750694
"106","Iran (Islamic Republic of)",NA,NA,"Asia",NA,NA
"107","Iraq",NA,453.8604444,"Asia",44496.122,NA
"108","Ireland",86.5,NA,"Europe",5023.109,1.72204107057999
"109","Isle of Man",NA,NA,"Europe",84.519,NA
"110","Israel",NA,92.1907518,"Asia",9038.309,NA
"111","Italy",NA,NA,"Europe",59037.474,NA
"112","Jamaica",42.4,95.2826049,"Americas",2827.377,1.49962314894689
"113","Japan",700,2020.4125796,"Asia",123951.692,0.564736139301753
"114","Jersey",NA,NA,"Europe",110.778,NA
"115","Jordan",NA,115.1158638,"Asia",11285.869,NA
"116","Kazakhstan",62,409.2977578,"Asia",19397.998,0.319620612395155
"117","Kenya",32.6,783.3985615,"Africa",54027.487,0.0603396563678781
"118","Kiribati",NA,2.1390816,"Oceania",131.232,NA
"119","Korea (Democratic People's Republic of)",NA,NA,"Asia",NA,NA
"120","Korea, Republic of",NA,NA,"Asia",NA,NA
"121","Kuwait",NA,43.5425046,"Asia",4268.873,NA
"122","Kyrgyzstan",16.9,139.9061453,"Asia",6630.623,0.254878010708798
"123","Lao People's Democratic Republic",57.8,NA,"Asia",NA,NA
"124","Latvia",NA,NA,"Europe",1850.651,NA
"125","Lebanon",16.5,55.9953378,"Asia",5489.739,0.300560737040504
"126","Lesotho",6.1,33.4344625,"Africa",2305.825,0.264547396268147
"127","Liberia",74.6,76.8888745,"Africa",5302.681,1.40683552338902
"128","Libya",NA,69.4858782,"Africa",6812.341,NA
"129","Liechtenstein",NA,NA,"Europe",39.327,NA
"130","Lithuania",NA,NA,"Europe",2750.055,NA
"131","Luxembourg",NA,NA,"Europe",647.599,NA
"132","Macao",NA,NA,"Asia",NA,NA
"133","Madagascar",17,429.369853,"Africa",29611.714,0.0574097129264453
"134","Malawi",42.6,295.8770965,"Africa",20405.317,0.208769116402357
"135","Malaysia",220,553.1930023,"Asia",33938.221,0.648236688658489
"136","Maldives",NA,8.5377281,"Asia",523.787,NA
"137","Mali",4.1,327.607055,"Africa",22593.59,0.0181467398496653
"138","Malta",NA,NA,"Europe",533.286,NA
"139","Marshall Islands",NA,0.6775747,"Oceania",41.569,NA
"140","Martinique",NA,12.3849859,"Americas",367.507,NA
"141","Mauritania",7.6,68.6740155,"Africa",4736.139,0.160468263283658
"142","Mauritius",5.5,18.8423005,"Africa",1299.469,0.423249804343159
"143","Mayotte",NA,4.7284645,"Africa",326.101,NA
"144","Mexico",1200,4296.8890125,"Americas",127504.125,0.941146021746355
"145","Micronesia (Federated States of)",NA,NA,"Oceania",NA,NA
"146","Moldova, Republic of",NA,NA,"Europe",NA,NA
"147","Monaco",NA,NA,"Europe",36.469,NA
"148","Mongolia",6.5,55.3933658,"Asia",3398.366,0.191268391927179
"149","Montenegro",NA,NA,"Europe",627.082,NA
"150","Montserrat",NA,0.147943,"Americas",4.39,NA
"151","Morocco",42,382.0713042,"Africa",37457.971,0.112125667458069
